kepid,kepoi_name,kepler_name,koi_disposition,koi_score,koi_period,koi_prad,koi_teq,koi_insol,koi_steff,koi_srad,planet_type
7987749,K06948.01,Unconfirmed Candidate,FALSE POSITIVE,0.0,17.03085756,73.8,836.0,115.15,5575.0,1.423,Gas Giant (Jupiter-size)
8007675,K06949.01,Unconfirmed Candidate,CANDIDATE,0.126,2.352446342,1.24,2173.0,5269.29,6749.0,2.003,Terrestrial (Earth-size)
8700506,K07077.01,Unconfirmed Candidate,FALSE POSITIVE,0.0,43.797829,93.43,668.0,47.15,6860.0,1.292,Gas Giant (Jupiter-size)
8701327,K07078.01,Unconfirmed Candidate,FALSE POSITIVE,0.0,4.254417651,133.79,1360.0,806.64,6292.0,1.235,Gas Giant (Jupiter-size)
8711548,K07079.01,Unconfirmed Candidate,FALSE POSITIVE,0.0,18.77816216,127.57,1002.0,238.5,6794.0,1.71,Gas Giant (Jupiter-size)
8719897,K07081.01,Unconfirmed Candidate,FALSE POSITIVE,0.0,1.575710265,246.75,2630.0,11307.3,5017.0,4.293,Gas Giant (Jupiter-size)
8736245,K07082.01,Unconfirmed Candidate,FALSE POSITIVE,0.0,2.534740757,52.52,1230.0,541.27,5810.0,0.781,Gas Giant (Jupiter-size)
8738115,K07083.01,Unconfirmed Candidate,FALSE POSITIVE,0.0,37.59406667,43.08,554.0,22.2,5941.0,0.917,Gas Giant (Jupiter-size)
8739209,K07084.01,Unconfirmed Candidate,FALSE POSITIVE,0.0,3.6972959,1.07,1571.0,1438.97,6313.0,1.594,Terrestrial (Earth-size)
8746310,K07085.01,Unconfirmed Candidate,FALSE POSITIVE,0.0,6.855624762,33.93,987.0,224.32,6109.0,0.931,Gas Giant (Jupiter-size)
9640921,K07210.01,Unconfirmed Candidate,FALSE POSITIVE,0.0,80.7060641,15.47,428.0,7.96,6053.0,0.949,Gas Giant (Jupiter-size)
9640921,K07210.02,Unconfirmed Candidate,FALSE POSITIVE,0.0,2.17814513,1.22,1428.0,981.63,6053.0,0.949,Terrestrial (Earth-size)
9641031,K07211.01,Unconfirmed Candidate,FALSE POSITIVE,0.0,1.089077111,77.59,2045.0,4147.85,6126.0,1.176,Gas Giant (Jupiter-size)
